dies,zonaCombat,mort.uff,mort.truppa,ferit.uff,ferit.truppa
1939-01-03,Serra Fosca-Corral Nous-Castelldans,2,26,9,205
1939-01-09,Fulleda-Roca Tomasa,0,5,4,22
1939-01-16,Sta Coloma Queralt-Montargull,2,5,4,36
1939-01-22,riu Anoia-Piera,0,3,1,13
1939-01-23,Piera-Masquefa,0,6,0,12
1939-01-24,riu Llobregat,1,7,5,30
1939-01-29,"""speroni"" Montalt-Caldes d'Estrac",0,3,2,37
1939-02-02,Blanes,1,0,1,18
1939-02-03,Tossa-S. Feliu Guixols,0,1,0,25
1939-02-04,riu Ridaura,2,23,6,103
1939-02-05,"""alture"" Calonge-Palamós",1,0,0,16
1939-02-06,riu Ter,1,1,0,19
