dies,oficials,tropa
1938-12-24,4,38
1938-12-25,0,0
1938-12-26,0,3
1938-12-27,0,9
1938-12-28,0,7
1938-12-29,0,7
1938-12-30,0,9
1938-12-31,0,3
1939-01-01,0,7
1939-01-02,0,3
1939-01-03,20,375
1939-01-04,10,122
1939-01-05,4,43
1939-01-06,0,71
1939-01-07,6,60
1939-01-08,1,41
1939-01-09,0,29
1939-01-10,7,70
1939-01-11,0,21
1939-01-12,1,7
1939-01-13,0,4
1939-01-14,0,7
1939-01-15,3,28
1939-01-16,0,7
1939-01-17,0,33
1939-01-18,0,0
1939-01-19,0,0
1939-01-20,0,0
1939-01-21,0,6
1939-01-22,0,14
1939-01-23,1,126
1939-01-24,3,223
1939-01-25,2,186
1939-01-26,4,407
1939-01-27,1,71
1939-01-28,4,232
1939-01-29,21,1605
1939-01-30,0,704
1939-01-31,2,363
1939-02-01,3,629
1939-02-02,0,411
1939-02-03,3,320
1939-02-04,0,210
1939-02-05,8,345
1939-02-06,2,280
1939-02-07,5,583
1939-02-08,0,153
1939-02-09,6,849
