dies,kms
1938-12-24,9.219858156
1938-12-25,7.234042553
1938-12-26,5.106382979
1938-12-27,3.262411348
1938-12-28,0.141843972
1938-12-29,2.127659574
1938-12-30,0.141843972
1938-12-31,4.113475177
1939-01-01,7.375886525
1939-01-02,6.09929078
1939-01-03,8.226950355
1939-01-04,4.113475177
1939-01-05,15.46099291
1939-01-06,5.390070922
1939-01-07,2.127659574
1939-01-08,2.127659574
1939-01-09,9.645390071
1939-01-10,5.390070922
1939-01-11,5.531914894
1939-01-12,7.517730496
1939-01-13,10.21276596
1939-01-14,11.4893617
1939-01-15,7.943262411
1939-01-16,11.63120567
1939-01-17,0.141843972
1939-01-18,0
1939-01-19,10.35460993
1939-01-20,15.60283688
1939-01-21,16.45390071
1939-01-22,13.61702128
1939-01-23,15.46099291
1939-01-24,6.382978723
1939-01-25,10.35460993
1939-01-26,20.28368794
1939-01-27,17.30496454
1939-01-28,30.35460993
1939-01-29,7.375886525
1939-01-30,13.75886525
1939-01-31,18.58156028
1939-02-01,0.141843972
1939-02-02,23.68794326
1939-02-03,26.5248227
1939-02-04,6.666666667
1939-02-05,13.90070922
1939-02-06,23.68794326
1939-02-07,8.65248227
1939-02-08,19.85815603
